time,frontend_mem,frontend_cpu,frontend_restarts,checkoutservice_mem,checkoutservice_cpu,checkoutservice_restarts,cartservice_mem,cartservice_cpu,cartservice_restarts,currencyservice_mem,currencyservice_cpu,currencyservice_restarts,paymentservice_mem,paymentservice_cpu,paymentservice_restarts,recommendationservice_mem,recommendationservice_cpu,recommendationservice_restarts,productcatalogservice_mem,productcatalogservice_cpu,productcatalogservice_restarts,shippingservice_mem,shippingservice_cpu,shippingservice_restarts,emailservice_mem,emailservice_cpu,emailservice_restarts,adservice_mem,adservice_cpu,adservice_restarts
1782910458,11313152.000000,,0.000000,7749632.000000,0.000963,0.000000,56168448.000000,0.005604,0.000000,35291136.000000,,0.000000,23322624.000000,0.000540,0.000000,33157120.000000,0.005773,0.000000,8699904.000000,0.005287,0.000000,7471104.000000,,0.000000,37523456.000000,0.001380,1.000000,95309824.000000,,0.000000
1782910488,11329536.000000,0.011863,0.000000,7749632.000000,0.000472,0.000000,56102912.000000,0.004935,0.000000,35360768.000000,0.006741,0.000000,23359488.000000,0.000657,0.000000,33157120.000000,0.006461,0.000000,8699904.000000,0.004088,0.000000,7479296.000000,0.000565,0.000000,37523456.000000,0.001333,1.000000,95399936.000000,0.003492,0.000000
1782910518,11341824.000000,0.011352,0.000000,10936320.000000,0.000629,0.000000,56139776.000000,0.004073,0.000000,35422208.000000,0.006947,0.000000,23396352.000000,0.000449,0.000000,33157120.000000,0.005193,0.000000,8708096.000000,0.004587,0.000000,7483392.000000,0.000600,0.000000,37523456.000000,0.001329,1.000000,95399936.000000,0.002686,0.000000
1782910548,11137024.000000,0.009937,0.000000,13656064.000000,,0.000000,56164352.000000,0.004981,0.000000,35418112.000000,0.005794,0.000000,23384064.000000,0.000502,0.000000,33157120.000000,0.004030,0.000000,8704000.000000,0.003712,0.000000,7487488.000000,0.000523,0.000000,37523456.000000,0.000615,1.000000,95399936.000000,,0.000000
1782910578,11214848.000000,0.011619,0.000000,16879616.000000,,0.000000,56164352.000000,0.006577,0.000000,35581952.000000,0.007422,0.000000,23420928.000000,0.000400,0.000000,33157120.000000,0.006725,0.000000,8667136.000000,0.005249,0.000000,7487488.000000,0.000644,0.000000,37531648.000000,,1.000000,95481856.000000,,0.000000
1782910608,11214848.000000,0.006502,0.000000,19238912.000000,0.001298,0.000000,56164352.000000,0.005835,0.000000,35594240.000000,0.005841,0.000000,23408640.000000,0.000461,0.000000,33157120.000000,0.005776,0.000000,8310784.000000,0.005118,0.000000,7487488.000000,,0.000000,37535744.000000,0.001245,1.000000,95510528.000000,0.002565,0.000000
1782910638,11300864.000000,0.005813,0.000000,19591168.000000,0.001334,0.000000,56135680.000000,0.006195,0.000000,35622912.000000,0.007966,0.000000,23445504.000000,0.000526,0.000000,33140736.000000,0.006558,0.000000,8310784.000000,0.002676,0.000000,7524352.000000,,0.000000,37523456.000000,0.001436,1.000000,95531008.000000,0.002333,0.000000
1782910668,11300864.000000,0.007051,0.000000,20713472.000000,0.000832,0.000000,56139776.000000,0.003439,0.000000,35622912.000000,,0.000000,23445504.000000,0.000376,0.000000,33157120.000000,0.006112,0.000000,8388608.000000,0.002962,0.000000,7553024.000000,0.000906,0.000000,37523456.000000,,1.000000,95535104.000000,0.002266,0.000000
1782910698,11345920.000000,,0.000000,20897792.000000,0.001147,0.000000,56180736.000000,0.006273,0.000000,35737600.000000,,0.000000,23482368.000000,,0.000000,33169408.000000,0.007054,0.000000,8388608.000000,0.003152,0.000000,7553024.000000,0.000707,0.000000,37523456.000000,,1.000000,95543296.000000,0.002329,0.000000
1782910728,11350016.000000,0.012604,0.000000,20934656.000000,0.000659,0.000000,56152064.000000,0.005138,0.000000,35766272.000000,0.004835,0.000000,23502848.000000,0.001065,0.000000,33157120.000000,0.005573,0.000000,8749056.000000,,0.000000,7553024.000000,0.000699,0.000000,37523456.000000,0.001416,1.000000,95625216.000000,0.002505,0.000000
